Date,High
7/1/14,1.3701
7/2/14,1.3684
7/3/14,1.3665
7/4/14,1.3613
7/7/14,1.3611
7/8/14,1.3619
7/9/14,1.3648
7/10/14,1.3651
7/11/14,1.3625
7/14/14,1.364
7/15/14,1.3628
7/16/14,1.3575
7/17/14,1.3541
7/18/14,1.3535
7/21/14,1.355
7/22/14,1.3531
7/23/14,1.3475
7/24/14,1.3485
7/25/14,1.3478
7/28/14,1.3445
7/29/14,1.3445
7/30/14,1.3416
7/31/14,1.3401
8/1/14,1.3445
8/4/14,1.3434
8/5/14,1.3425
8/6/14,1.3388
8/7/14,1.3394
8/8/14,1.3433
8/11/14,1.3415
8/12/14,1.3386
8/13/14,1.3415
8/14/14,1.3409
8/15/14,1.3412
8/18/14,1.34
8/19/14,1.3366
8/20/14,1.3327
8/21/14,1.3289
8/22/14,1.3298
8/25/14,1.322
8/26/14,1.3216
8/27/14,1.3211
8/28/14,1.3221
8/29/14,1.3197
9/1/14,1.3146
9/2/14,1.3139
9/3/14,1.3161
9/4/14,1.3155
9/5/14,1.2986
9/8/14,1.2963
9/9/14,1.2959
9/10/14,1.2963
9/11/14,1.2952
9/12/14,1.298
9/15/14,1.2982
9/16/14,1.2995
9/17/14,1.2982
9/18/14,1.2931
9/19/14,1.293
9/22/14,1.2868
9/23/14,1.2903
9/24/14,1.2864
9/25/14,1.2784
9/26/14,1.2761
9/29/14,1.2716
9/30/14,1.2703
10/1/14,1.264
10/2/14,1.2698
10/3/14,1.2676
10/6/14,1.2677
10/7/14,1.2683
10/8/14,1.2749
10/9/14,1.2792
10/10/14,1.2716
10/13/14,1.2762
10/14/14,1.2769
10/15/14,1.2886
10/16/14,1.2847
10/17/14,1.2837
10/20/14,1.2817
10/21/14,1.2841
10/22/14,1.274
10/23/14,1.2679
10/24/14,1.2696
10/27/14,1.2725
10/28/14,1.2765
10/29/14,1.2772
10/30/14,1.264
10/31/14,1.2618
11/3/14,1.2517
11/4/14,1.2578
11/5/14,1.2568
11/6/14,1.2535
11/7/14,1.2471
11/10/14,1.251
11/11/14,1.25
11/12/14,1.2499
11/13/14,1.2492
11/14/14,1.2548
11/17/14,1.2578
11/18/14,1.2546
11/19/14,1.26
11/20/14,1.2576
11/21/14,1.2571
11/24/14,1.2445
11/25/14,1.2487
11/26/14,1.2532
11/27/14,1.2524
11/28/14,1.2492
12/1/14,1.2507
12/2/14,1.2478
12/3/14,1.2391
12/4/14,1.2458
12/5/14,1.2393
12/8/14,1.2344
12/9/14,1.2448
12/10/14,1.2449
12/11/14,1.2496
12/12/14,1.2487
12/15/14,1.2485
12/16/14,1.2571
12/17/14,1.2517
12/18/14,1.2353
12/19/14,1.2305
12/22/14,1.2273
12/23/14,1.2247
12/24/14,1.2222
12/25/14,1.2256
12/26/14,1.2228
12/29/14,1.2221
12/30/14,1.2188
12/31/14,1.2172
1/1/15,1.2107
1/2/15,1.2111
1/5/15,1.2008
1/6/15,1.1969
1/7/15,1.1898
1/8/15,1.1848
1/9/15,1.1848
1/12/15,1.1871
1/13/15,1.186
1/14/15,1.1846
1/15/15,1.1795
1/16/15,1.165
1/19/15,1.1641
1/20/15,1.1616
1/21/15,1.1677
1/22/15,1.1648
1/23/15,1.1374
1/26/15,1.1297
1/27/15,1.1423
1/28/15,1.1385
1/29/15,1.1369
1/30/15,1.1366
2/2/15,1.1364
2/3/15,1.1534
2/4/15,1.1486
2/5/15,1.15
2/6/15,1.1488
2/9/15,1.1359
2/10/15,1.1347
2/11/15,1.1349
2/12/15,1.1423
2/13/15,1.1443
2/16/15,1.1429
2/17/15,1.145
2/18/15,1.1418
2/19/15,1.145
2/20/15,1.1431
2/23/15,1.1414
2/24/15,1.136
2/25/15,1.1389
2/26/15,1.1381
2/27/15,1.1248
3/2/15,1.1242
3/3/15,1.1219
3/4/15,1.1187
3/5/15,1.1115
3/6/15,1.1035
3/9/15,1.0908
3/10/15,1.0856
3/11/15,1.0718
3/12/15,1.0684
3/13/15,1.0639
3/16/15,1.0621
3/17/15,1.065
3/18/15,1.1033
3/19/15,1.0915
3/20/15,1.0883
3/23/15,1.0972
3/24/15,1.1031
3/25/15,1.1016
3/26/15,1.1052
3/27/15,1.0949
3/30/15,1.0897
3/31/15,1.0846
4/1/15,1.0801
4/2/15,1.0905
4/3/15,1.1028
4/6/15,1.1037
4/7/15,1.0957
4/8/15,1.0888
4/9/15,1.0789
4/10/15,1.0685
4/13/15,1.0619
4/14/15,1.0709
4/15/15,1.0703
4/16/15,1.0819
4/17/15,1.085
4/20/15,1.0825
4/21/15,1.0784
4/22/15,1.0802
4/23/15,1.0848
4/24/15,1.0901
4/27/15,1.0928
4/28/15,1.0991
4/29/15,1.1189
4/30/15,1.1269
5/1/15,1.129
5/4/15,1.1226
5/5/15,1.1223
5/6/15,1.1372
5/7/15,1.1393
5/8/15,1.129
5/11/15,1.1207
5/12/15,1.1277
5/13/15,1.1385
5/14/15,1.1447
5/15/15,1.1467
5/18/15,1.145
5/19/15,1.1328
5/20/15,1.1156
5/21/15,1.1181
5/22/15,1.1211
5/25/15,1.1012
5/26/15,1.0985
5/27/15,1.0931
5/28/15,1.096
5/29/15,1.1006
6/1/15,1.0991
6/2/15,1.1193
6/3/15,1.1284
6/4/15,1.1381
6/5/15,1.1281
6/8/15,1.1307
6/9/15,1.1345
6/10/15,1.1387
6/11/15,1.1332
6/12/15,1.1298
6/15/15,1.1294
6/16/15,1.1331
6/17/15,1.136
6/18/15,1.1438
6/19/15,1.1393
6/22/15,1.1411
6/23/15,1.1348
6/24/15,1.1237
6/25/15,1.1227
6/26/15,1.1221
6/29/15,1.1279
6/30/15,1.1246
7/1/15,1.1172
7/2/15,1.1124
7/3/15,1.1119
7/6/15,1.1097
7/7/15,1.1061
7/8/15,1.1094
7/9/15,1.1126
7/10/15,1.1218
7/13/15,1.1197
7/14/15,1.1084
7/15/15,1.1035
7/16/15,1.0964
7/17/15,1.0907
7/20/15,1.0872
7/21/15,1.097
7/22/15,1.0966
7/23/15,1.1019
7/24/15,1.0997
7/27/15,1.113
7/28/15,1.1101
7/29/15,1.1086
7/30/15,1.0992
7/31/15,1.1114
8/3/15,1.0997
8/4/15,1.0989
8/5/15,1.0938
8/6/15,1.0944
8/7/15,1.0981
8/10/15,1.1044
8/11/15,1.1088
8/12/15,1.1212
8/13/15,1.1189
8/14/15,1.1189
8/17/15,1.1125
8/18/15,1.1096
8/19/15,1.1137
8/20/15,1.1246
8/21/15,1.1393
8/24/15,1.1713
8/25/15,1.1625
8/26/15,1.1561
8/27/15,1.1366
8/28/15,1.131
8/31/15,1.1265
9/1/15,1.1333
9/2/15,1.1319
9/3/15,1.1246
9/4/15,1.1181
9/7/15,1.1178
9/8/15,1.1229
9/9/15,1.1219
9/10/15,1.1299
9/11/15,1.1349
9/14/15,1.1375
9/15/15,1.1328
9/16/15,1.1321
9/17/15,1.1442
9/18/15,1.146
9/21/15,1.1332
9/22/15,1.1209
9/23/15,1.1214
9/24/15,1.1296
9/25/15,1.1231
9/28/15,1.125
9/29/15,1.1285
9/30/15,1.1262
10/1/15,1.121
10/2/15,1.1319
10/5/15,1.129
10/6/15,1.1282
10/7/15,1.1284
10/8/15,1.1325
10/9/15,1.1391
10/12/15,1.1397
10/13/15,1.1413
10/14/15,1.149
10/15/15,1.1496
10/16/15,1.1397
10/19/15,1.1382
10/20/15,1.1387
10/21/15,1.138
10/22/15,1.1351
10/23/15,1.1142
10/26/15,1.1069
10/27/15,1.1079
10/28/15,1.1096
10/29/15,1.0985
10/30/15,1.1073
11/2/15,1.1053
11/3/15,1.1031
11/4/15,1.0968
11/5/15,1.0898
11/6/15,1.0896
11/9/15,1.0793
11/10/15,1.0764
11/11/15,1.0774
11/12/15,1.0829
11/13/15,1.0818
11/16/15,1.0781
11/17/15,1.0696
11/18/15,1.0694
11/19/15,1.0764
11/20/15,1.0745
11/23/15,1.0658
11/24/15,1.0674
11/25/15,1.069
11/26/15,1.0633
11/27/15,1.064
11/30/15,1.0596
12/1/15,1.0638
12/2/15,1.0644
12/3/15,1.0983
12/4/15,1.0957
12/7/15,1.0888
12/8/15,1.0901
12/9/15,1.1042
12/10/15,1.1029
12/11/15,1.1033
12/14/15,1.105
12/15/15,1.1059
12/16/15,1.1008
12/17/15,1.0915
12/18/15,1.0877
12/21/15,1.0941
12/22/15,1.0985
12/23/15,1.0957
12/24/15,1.0976
12/25/15,1.0979
12/28/15,1.0995
12/29/15,1.0992
12/30/15,1.0947
12/31/15,1.0938
1/1/16,1.0869
1/4/16,1.0949
1/5/16,1.084
1/6/16,1.0802
1/7/16,1.0941
1/8/16,1.0936
1/11/16,1.0969
1/12/16,1.0904
1/13/16,1.0891
1/14/16,1.0945
1/15/16,1.0987
1/18/16,1.0941
1/19/16,1.0941
1/20/16,1.0977
1/21/16,1.0922
1/22/16,1.0879
1/25/16,1.0858
1/26/16,1.0875
1/27/16,1.0917
1/28/16,1.0969
1/29/16,1.0951
2/1/16,1.0915
2/2/16,1.0944
2/3/16,1.1146
2/4/16,1.124
2/5/16,1.1246
2/8/16,1.1218
2/9/16,1.1339
2/10/16,1.1311
2/11/16,1.1378
2/12/16,1.1335
2/15/16,1.1253
2/16/16,1.1196
2/17/16,1.118
2/18/16,1.1153
2/19/16,1.114
2/22/16,1.1137
2/23/16,1.1055
2/24/16,1.1047
2/25/16,1.1052
2/26/16,1.1071
2/29/16,1.0964
3/1/16,1.0896
3/2/16,1.0881
3/3/16,1.0974
3/4/16,1.1045
3/7/16,1.1027
3/8/16,1.1059
3/9/16,1.1037
3/10/16,1.1218
3/11/16,1.1212
3/14/16,1.1177
3/15/16,1.1125
3/16/16,1.1245
3/17/16,1.1344
3/18/16,1.1339
3/21/16,1.1286
3/22/16,1.1263
3/23/16,1.1224
3/24/16,1.1188
3/25/16,1.1189
3/28/16,1.1221
3/29/16,1.1305
3/30/16,1.1366
3/31/16,1.1413
4/1/16,1.1439
4/4/16,1.1414
4/5/16,1.1406
4/6/16,1.1434
4/7/16,1.1455
4/8/16,1.1421
4/11/16,1.1448
4/12/16,1.1466
4/13/16,1.1393
4/14/16,1.1296
4/15/16,1.132
4/18/16,1.1334
4/19/16,1.1387
4/20/16,1.1388
4/21/16,1.1396
4/22/16,1.1312
4/25/16,1.128
4/26/16,1.1339
4/27/16,1.1363
4/28/16,1.137
4/29/16,1.1461
5/2/16,1.1539
5/3/16,1.1616
5/4/16,1.153
5/5/16,1.1496
5/6/16,1.1479
5/9/16,1.1422
5/10/16,1.1413
5/11/16,1.1448
5/12/16,1.1434
5/13/16,1.1383
5/16/16,1.1345
5/17/16,1.135
5/18/16,1.1327
5/19/16,1.123
5/20/16,1.1239
5/23/16,1.1246
5/24/16,1.1228
5/25/16,1.1169
5/26/16,1.1218
5/27/16,1.1201
5/30/16,1.1148
5/31/16,1.1176
6/1/16,1.1198
6/2/16,1.1221
6/3/16,1.1377
6/6/16,1.1396
6/7/16,1.1382
6/8/16,1.1412
6/9/16,1.1417
6/10/16,1.1329
6/13/16,1.1304
6/14/16,1.1304
6/15/16,1.1299
6/16/16,1.1298
6/17/16,1.1299
6/20/16,1.1386
6/21/16,1.1351
6/22/16,1.1339
6/23/16,1.1424
6/24/16,1.1434
6/27/16,1.1087
6/28/16,1.1112
6/29/16,1.1131
6/30/16,1.1157
7/1/16,1.1169
7/4/16,1.1166
7/5/16,1.1184
7/6/16,1.1112
7/7/16,1.1113
7/8/16,1.1115
7/11/16,1.1076
7/12/16,1.1127
7/13/16,1.1121
7/14/16,1.1166
7/15/16,1.115
7/18/16,1.1086
7/19/16,1.1086
7/20/16,1.1032
7/21/16,1.106
7/22/16,1.1042
7/25/16,1.1002
7/26/16,1.1031
7/27/16,1.1067
7/28/16,1.1119
7/29/16,1.12
8/1/16,1.1186
8/2/16,1.1236
8/3/16,1.1233
8/4/16,1.1158
8/5/16,1.1162
8/8/16,1.1107
8/9/16,1.1124
8/10/16,1.1193
8/11/16,1.1194
8/12/16,1.1224
8/15/16,1.1203
8/16/16,1.1324
8/17/16,1.1318
8/18/16,1.1367
8/19/16,1.1363
8/22/16,1.1334
8/23/16,1.1357
8/24/16,1.1316
8/25/16,1.1301
8/26/16,1.1343
8/29/16,1.1208
8/30/16,1.1198
8/31/16,1.1167
9/1/16,1.1207
9/2/16,1.1254
9/5/16,1.1185
9/6/16,1.1266
9/7/16,1.1271
9/8/16,1.1329
9/9/16,1.1288
9/12/16,1.1269
9/13/16,1.1262
9/14/16,1.1274
9/15/16,1.1286
9/16/16,1.1256
9/19/16,1.1198
9/20/16,1.1216
9/21/16,1.12
9/22/16,1.1258
9/23/16,1.1244
9/26/16,1.1279
9/27/16,1.1262
9/28/16,1.1238
9/29/16,1.1251
9/30/16,1.1253
10/3/16,1.1245
10/4/16,1.124
10/5/16,1.1238
10/6/16,1.1214
10/7/16,1.1207
10/10/16,1.1202
10/11/16,1.1144
10/12/16,1.1072
10/13/16,1.1058
10/14/16,1.1062
10/17/16,1.1011
10/18/16,1.1029
10/19/16,1.1005
10/20/16,1.1041
10/21/16,1.0933
10/24/16,1.0903
10/25/16,1.0906
10/26/16,1.0947
10/27/16,1.0945
10/28/16,1.0995
10/31/16,1.0994
11/1/16,1.1072
11/2/16,1.1125
11/3/16,1.1128
11/4/16,1.1146
11/7/16,1.1139
11/8/16,1.107
11/9/16,1.13
11/10/16,1.0958
11/11/16,1.0929
11/14/16,1.0852
11/15/16,1.0817
11/16/16,1.0763
11/17/16,1.0746
11/18/16,1.0645
11/21/16,1.0652
11/22/16,1.066
11/23/16,1.0647
11/24/16,1.0587
11/25/16,1.0631
11/28/16,1.0686
11/29/16,1.0657
11/30/16,1.0669
12/1/16,1.067
12/2/16,1.0692
12/5/16,1.0798
12/6/16,1.0787
12/7/16,1.077
12/8/16,1.0873
12/9/16,1.0632
12/12/16,1.0652
12/13/16,1.0668
12/14/16,1.0671
12/15/16,1.0544
12/16/16,1.0477
12/19/16,1.0479
12/20/16,1.0419
12/21/16,1.0453
12/22/16,1.0501
12/23/16,1.047
12/26/16,1.0473
